X,Y,Name,affiliation,awe_walk(y/n),initial_interview,mode,location,history(y/n),frequency,morphology1,morphology2,phenomenology1,phenomenology2,binary_threshold,binary_surprise,binary_sanctuary,binary_other,description
-71.0761,42.36488,Vista of Charles River Basin,gardener,n,y,walk,waterfront,n,timeless,nature,vista,wonder,expansive,n,n,n,n,"""wonder; openness"""
-71.087,42.36042,Vista of Charles River Basin + Boston Skyline at Sunset from MIT Media Lab,personal,n,n/a,walk,educational,n,timeless,nature,vista,beauty,expansive,n,n,n,n,
-71.1273,42.37487,Vista to Charles River at Longfellow Park,CRA,n,y,walk,waterfront,n,timeless,nature,vista,beauty,expansive,n,n,n,n,"""attention grabbing; beautiful"""
-71.0815,42.36522,Walkway between Linskey & Binney,CRA,n,y,walk,park,n,timeless,nature,green space,wonder,intimate,y,n,n,n,"""wonder - pocket parks can be charming; things that you stumble upon
finds these moments or places to be one of the most compelling about others cities → finds that these things make a place memorable"""
-71.1221,42.36937,Weld Boat House,CRA,n,y,walk,"civic, community and cultural venues",y,timeless,visual_design,infrastructure,beauty,ornate,n,n,n,n,"""wonder, beauty, excellence and history; viking motif from longfellow bridge is found on this boathouse"""
-71.134,42.38887,Winter at Danehy Park,gardener,n,y,walk,park,n,seasonal,nature,vista,vastness,expansive,n,n,y,n,"""vastness; nature- view of sky and more horizon here; sense of vastness which is increased by the snow and being alone"""
-71.0888,42.36114,Witchhazel,personal,n,n/a,walk,street,n,seasonal,nature,plant,beauty,novel,n,n,n,y,"""first time seeing watchhazel flower and getting to smell it"""
-71.0958,42.36628,Witnessing Connection on Street Corner,personal,n,n/a,bike,street,n,periodic,moral_beauty,people,interconnection,novel,n,n,n,y,
-71.1272,42.39268,Woodworking Design Flourishes,CRA,y,n,walk,street,n,timeless,visual_design,architecture,beauty,ornate,n,n,n,n,"""beauty- appreciation of variation in buildings and beautiful design flourishes"""
-71.1145,42.39133,Yard Ornaments,CRA,n,y,walk,street,n,timeless,visual_design,art/object,mystery,ornate,n,n,n,n,"""mystery of why these people are putting out yard ornaments"""
